rainfall_mm,curve_number,runoff_mm,amc
0.0,60.0,0.0,II
5.0,60.0,0.0,II
10.0,60.0,0.0,II
15.0,60.0,0.0,II
20.0,60.0,0.0,II
25.0,60.0,0.0,II
30.0,60.0,0.0,II
35.0,60.0,0.007534871594316251,II
40.0,60.0,0.21438703140830803,II
45.0,60.0,0.6868365964782663,II
50.0,60.0,1.4034028277018933,II
55.0,60.0,2.3448605763621515,II
60.0,60.0,3.4939517962710327,II
65.0,60.0,4.8351402283560585,II
70.0,60.0,6.35440190352585,II
75.0,60.0,8.03904550733819,II
80.0,60.0,9.877557755775578,II
85.0,60.0,11.859469811510937,II
90.0,60.0,13.9752414744727,II
95.0,60.0,16.21616044740141,II
100.0,60.0,18.574254435636085,II
105.0,60.0,21.042214213104145,II
110.0,60.0,23.61332609089263,II
115.0,60.0,26.281412474492058,II
120.0,60.0,29.040779401530965,II
0.0,70.0,0.0,II
5.0,70.0,0.0,II
10.0,70.0,0.0,II
15.0,70.0,0.0,II
20.0,70.0,0.0,II
25.0,70.0,0.09299734168457102,II
30.0,70.0,0.5782890608659281,II
35.0,70.0,1.4333790244391704,II
40.0,70.0,2.6146197327852017,II
45.0,70.0,4.084972652266619,II
50.0,70.0,5.812802953611627,II
55.0,70.0,7.770928729424608,II
60.0,70.0,9.935864135864138,II
65.0,70.0,12.287211830063606,II
70.0,70.0,14.80717143896482,II
75.0,70.0,17.480139004306114,II
80.0,70.0,20.292378346687514,II
85.0,70.0,23.231749721306425,II
90.0,70.0,26.287484441985896,II
95.0,70.0,29.449996637600595,II
100.0,70.0,32.71072519417052,II
105.0,70.0,36.06200038248232,II
110.0,70.0,39.4969307873918,II
115.0,70.0,43.00930702268183,II
120.0,70.0,46.593519394512775,II
0.0,80.0,0.0,II
5.0,80.0,0.0,II
10.0,80.0,0.0,II
15.0,80.0,0.08039513677811543,II
20.0,80.0,0.7526836158192088,II
25.0,80.0,1.9959102902374666,II
30.0,80.0,3.7040841584158404,II
35.0,80.0,5.7959207459207445,II
40.0,80.0,8.208039647577092,II
45.0,80.0,10.89029227557411,II
50.0,80.0,13.802480158730157,II
55.0,80.0,16.912003780718333,II
60.0,80.0,20.19214801444043,II
65.0,80.0,23.62081174438687,II
70.0,80.0,27.179552980132446,II
75.0,80.0,30.852861685214624,II
80.0,80.0,34.6275993883792,II
85.0,80.0,38.49256259204712,II
90.0,80.0,42.43813920454545,II
95.0,80.0,46.45603566529492,II
100.0,80.0,50.53905835543765,II
105.0,80.0,54.680937098844666,II
110.0,80.0,58.87618159203979,II
115.0,80.0,63.119963811821464,II
120.0,80.0,67.40802107728337,II
0.0,90.0,0.0,II
5.0,90.0,0.0,II
10.0,90.0,0.582325299378505,II
15.0,90.0,2.3292069124121157,II
20.0,90.0,4.84012990025516,II
25.0,90.0,7.874212465618348,II
30.0,90.0,11.282201559124635,II
35.0,90.0,14.96668810840945,II
40.0,90.0,18.861395202020198,II
45.0,90.0,22.91966093024955,II
50.0,90.0,27.107681839831255,II
55.0,90.0,31.40036920334829,II
60.0,90.0,35.778710680540605,II
65.0,90.0,40.22803574952775,II
70.0,90.0,44.736843228249846,II
75.0,90.0,49.295989270983576,II
80.0,90.0,53.89811284421336,II
85.0,90.0,58.53722141889875,II
90.0,90.0,63.20838706847392,II
95.0,90.0,67.9075201075201,II
100.0,90.0,72.6311981306905,II
105.0,90.0,77.37653525324663,II
110.0,90.0,82.14108094014229,II
115.0,90.0,86.92274089628313,II
120.0,90.0,91.71971460238292,II
0.0,95.0,0.0,II
5.0,95.0,0.34481273606551716,II
10.0,95.0,2.5936499437811253,II
15.0,95.0,5.913197783479598,II
20.0,95.0,9.78021803479894,II
25.0,95.0,13.964646354902307,II
30.0,95.0,18.34948675361452,II
35.0,95.0,22.868950884467573,II
40.0,95.0,27.483205105787743,II
45.0,95.0,32.16672005093059,II
50.0,95.0,36.90237873560072,II
55.0,95.0,41.67827524266525,II
60.0,95.0,46.48587191624089,II
65.0,95.0,51.318886912734506,II
70.0,95.0,56.172595328655596,II
75.0,95.0,61.04337498949438,II
80.0,95.0,65.92840248252945,II
85.0,95.0,70.82544448239729,II
90.0,95.0,75.73271124707023,II
95.0,95.0,80.64875169698972,II
100.0,95.0,85.57237692939081,II
105.0,95.0,90.50260356559674,II
110.0,95.0,95.43861117996457,II
115.0,95.0,100.37970988941242,II
120.0,95.0,105.3253153825285,II
0.0,100.0,0.0,II
5.0,100.0,5.0,II
10.0,100.0,10.0,II
15.0,100.0,15.0,II
20.0,100.0,20.0,II
25.0,100.0,25.0,II
30.0,100.0,30.0,II
35.0,100.0,35.0,II
40.0,100.0,40.0,II
45.0,100.0,45.0,II
50.0,100.0,50.0,II
55.0,100.0,55.0,II
60.0,100.0,60.0,II
65.0,100.0,65.0,II
70.0,100.0,70.0,II
75.0,100.0,75.0,II
80.0,100.0,80.0,II
85.0,100.0,85.0,II
90.0,100.0,90.0,II
95.0,100.0,95.0,II
100.0,100.0,100.0,II
105.0,100.0,105.0,II
110.0,100.0,110.0,II
115.0,100.0,115.0,II
120.0,100.0,120.0,II
